date,price,bid,ask,vol,dollar_vol
2016-01-25,80.72,80.71,80.72,353.0,28494.16
2016-01-26,82.19,82.17,82.2,794.0,65258.86
2016-01-27,81.82,81.8,81.82,13752.0,1125188.64
2016-01-28,82.11,81.98,82.17,4600.0,377706.0
2016-01-29,84.15,84.16,84.19,5102.0,429333.30000000005
2016-01-30,,,,,
2016-01-31,,,,,
2016-02-01,84.02,84.01,84.03,900.0,75618.0
2016-02-02,82.34,82.31,82.34,749.0,61672.66
2016-02-03,83.25,83.21,83.23,18816.0,1566432.0
2016-02-04,83.67,83.65,83.67,687.0,57481.29
2016-02-05,82.8,82.8,82.82,1810.0,149868.0
2016-02-06,,,,,
2016-02-07,,,,,
2016-02-08,81.893,81.88,82.2,450000.0,36851850.0
2016-02-09,81.61,81.64,81.65,11880.0,969526.8
2016-02-10,81.29,81.29,81.31,1263.0,102669.27
2016-02-11,80.2288,79.85,80.04,10000.0,802288.0000000001
2016-02-12,81.89,81.89,81.91,1010.0,82708.9
2016-02-13,,,,,
2016-02-14,,,,,
2016-02-15,,,,,
2016-02-16,83.09,83.13,83.15,16238.0,1349215.4200000002
2016-02-17,84.43,84.41,84.43,5585.0,471541.55000000005
2016-02-18,84.27,84.22,84.26,9643.0,812615.61
2016-02-19,84.07,84.03,84.04,11770.0,989503.8999999999
2016-02-20,,,,,
2016-02-21,,,,,
2016-02-22,85.31,85.31,85.33,1311.0,111841.41
2016-02-23,84.368,84.13,84.3,100000.0,8436800.0
2016-02-24,84.5,84.46,84.5,1669.0,141030.5
2016-02-25,85.42,85.41,85.42,1223.0,104468.66
2016-02-26,85.32,85.31,85.34,400.0,34128.0
2016-02-27,,,,,
2016-02-28,,,,,
2016-02-29,84.59,84.58,84.64,200.0,16918.0
2016-03-01,86.5,86.47,86.6,4000.0,346000.0
2016-03-02,87.24,87.21,87.23,1469.0,128155.56
2016-03-03,87.82,87.78,87.81,20927.0,1837809.14
2016-03-04,88.2,88.18,88.21,2500.0,220500.0
2016-03-05,,,,,
2016-03-06,,,,,
2016-03-07,88.74,88.73,88.74,1734.0,153875.16
2016-03-08,87.53,87.48,87.65,1366.0,119565.98
2016-03-09,87.89,87.87,87.89,14973.0,1315976.97
2016-03-10,87.92,87.92,87.94,1144.0,100580.48
2016-03-11,89.37,89.36,89.37,322.0,28777.140000000003
2016-03-12,,,,,
2016-03-13,,,,,
2016-03-14,89.14,89.11,89.13,2845.0,253603.3
2016-03-15,88.83,88.83,88.85,2002.0,177837.66
2016-03-16,89.34,89.34,89.35,222.0,19833.48
2016-03-17,90.14,90.16,90.17,4807.0,433302.98
2016-03-18,90.7,90.71,90.73,1814.0,164529.80000000002
2016-03-19,,,,,
2016-03-20,,,,,
2016-03-21,90.74,90.72,90.73,8129.0,737625.46
2016-03-22,90.5091,90.49,90.69,15000.0,1357636.5
2016-03-23,89.28,89.21,89.23,7264.0,648529.92
2016-03-24,89.14,89.12,89.14,368.0,32803.52
2016-03-25,,,,,
2016-03-26,,,,,
2016-03-27,,,,,
2016-03-28,89.2,89.19,89.2,1500.0,133800.0
2016-03-29,89.76,89.73,89.74,1708.0,153310.08000000002
2016-03-30,90.12,90.1,90.11,7073.0,637418.76
2016-03-31,89.9489,89.83,89.99,70500.0,6341397.449999999
2016-04-01,90.27,90.2,90.26,11980.0,1081434.5999999999
2016-04-02,,,,,
2016-04-03,,,,,
2016-04-04,89.89,89.89,89.9,1826.0,164139.14
2016-04-05,88.98,88.94,88.95,24066.0,2141392.68
2016-04-06,89.76,89.74,89.76,1371.0,123060.96
2016-04-07,88.72,88.67,88.69,25460.0,2258811.2
2016-04-08,89.09,89.09,89.11,4811.0,428611.99
2016-04-09,,,,,
2016-04-10,,,,,
2016-04-11,89.04,89.03,89.04,552.0,49150.08
2016-04-12,90.01,90.01,90.04,26052.0,2344940.52
2016-04-13,91.08,91.08,91.09,514.0,46815.12
2016-04-14,91.16,91.15,91.18,558.0,50867.28
2016-04-15,90.99,90.96,90.97,33330.0,3032696.6999999997
2016-04-16,,,,,
2016-04-17,,,,,
2016-04-18,91.64,91.62,91.64,578.0,52967.92
